ID,Mode,Generations
360,Sex_mito,35644
361,Sex_mito,11500
362,Sex_mito,12681
363,Sex_mito,18995
364,Sex_mito,7618
365,Sex_mito,17644
366,Sex_mito,11329
367,Sex_mito,8660
368,Sex_mito,11358
369,Sex_mito,14520
370,Sex_mito,12417
371,Sex_mito,31282
372,Sex_mito,10910
373,Sex_mito,19087
374,Sex_mito,14717
375,Sex_mito,21597
376,Sex_mito,11666
377,Sex_mito,9958
378,Sex_mito,8116
379,Sex_mito,12930
380,Sex_mito,11069
381,Sex_mito,11910
382,Sex_mito,10732
383,Sex_mito,17142
384,Sex_mito,11165
385,Sex_mito,15409
386,Sex_mito,9320
387,Sex_mito,17808
388,Sex_mito,32720
389,Sex_mito,18271
390,Sex_mito,18301
391,Sex_mito,5734
392,Sex_mito,15176
393,Sex_mito,15971
394,Sex_mito,13761
395,Sex_mito,11944
396,Sex_mito,16523
397,Sex_mito,16278
398,Sex_mito,11842
399,Sex_mito,8553
400,Sex_mito,8218
