,Mode,Generations
27,Asex,6603
28,Asex,12012
29,Asex,12928
30,Asex,6391
31,Asex,5317
32,Asex,9952
33,Asex,18621
34,Asex,10005
35,Asex,29613
36,Asex,7077
37,Asex,20800
38,Asex,6296
39,Asex,8557
40,Asex,12156
41,Asex,10688
42,Asex,11424
43,Asex,14208
44,Asex,13023
45,Asex,11358
46,Asex,16613
47,Asex,10630
48,Asex,8680
49,Asex,24804
50,Asex,10714
51,Asex,9712
52,Asex,16538
53,Asex,7341
54,Asex,5188
55,Asex,11400
56,Asex,9318
57,Asex,7563
58,Asex,11906
59,Asex,8000
60,Asex,7169
61,Asex,8072
62,Asex,32959
63,Asex,11263
64,Asex,7108
65,Asex,11009
66,Asex,13484
67,Asex,15653
68,Asex,6038
69,Asex,10451
70,Asex,11047
71,Asex,7492
72,Asex,6250
73,Asex,6929
74,Asex,10770
75,Asex,12687
76,Asex,13250
77,Asex,12852
78,Asex,13678
79,Asex,6449
80,Asex,15921
81,Asex,5407
82,Asex,12868
83,Asex,6543
84,Asex,7486
85,Asex,22473
86,Asex,6321
87,Asex,8937
88,Asex,14920
89,Asex,20097
90,Asex,5166
91,Asex,19054
92,Asex,13239
93,Asex,18490
94,Asex,18239
95,Asex,7108
96,Asex,8399
97,Asex,5811
98,Asex,12789
99,Asex,10587
100,Asex,5981
101,Asex,5115
102,Asex,9167
103,Asex,8841
104,Asex,23903
105,Asex,11454
106,Asex,9201
107,Asex,12246
108,Asex,9530
109,Asex,9073
110,Asex,16377
111,Asex,14327
112,Asex,7257
113,Asex,8402
114,Asex,7590
115,Asex,15372
116,Asex,14568
117,Asex,23512
118,Asex,11837
119,Herm,11921
120,Herm,7446
121,Herm,12053
122,Herm,5766
123,Herm,5044
124,Herm,11288
125,Herm,22916
126,Herm,6063
127,Herm,5067
128,Herm,12110
129,Herm,7458
130,Herm,10000
131,Herm,6990
132,Herm,9758
133,Herm,18410
134,Herm,13520
135,Herm,32436
136,Herm,5951
137,Herm,3622
138,Herm,15744
139,Herm,10619
140,Herm,6235
141,Herm,3286
142,Herm,7621
143,Herm,13226
144,Herm,7118
145,Herm,15539
146,Herm,5263
147,Herm,5543
148,Herm,4198
149,Herm,12927
150,Herm,7328
151,Herm,7442
152,Herm,6315
153,Herm,8556
154,Herm,4324
155,Herm,7435
156,Herm,14724
157,Herm,7786
158,Herm,8650
159,Herm,3292
160,Herm,5695
161,Herm,2864
162,Herm,9769
163,Herm,5690
164,Herm,8269
165,Herm,7741
166,Herm,7377
167,Herm,22515
168,Herm,2576
169,Herm,6992
170,Herm,7626
171,Herm,8087
172,Herm,4829
173,Herm,16495
174,Herm,11675
175,Herm,5702
176,Herm,7999
177,Herm,6228
178,Herm,8142
179,Herm,8852
180,Herm,6811
181,Herm,5719
182,Herm,5441
183,Herm,12597
184,Herm,5358
185,Herm,6341
186,Herm,6581
187,Herm,9848
188,Herm,17232
189,Herm,9032
190,Herm,10431
191,Herm,6811
192,Herm,3317
193,Herm,8633
194,Herm,7911
195,Herm,12138
196,Herm,17042
197,Herm,5994
198,Herm,16950
199,Herm,6048
200,Herm,4458
201,Herm,6067
202,Herm,2696
203,Herm,23273
204,Herm,10798
205,Herm,9214
206,Herm,9493
207,Herm,5819
208,Herm,7360
209,Herm,12058
210,Herm,6967
211,Herm,8273
212,Herm,8653
213,Herm,9443
214,Herm,13994
215,Herm,10710
216,Herm,4017
217,Herm,7468
218,Herm,14730
219,Sex,7140
220,Sex,9372
221,Sex,15083
222,Sex,12668
223,Sex,8391
224,Sex,12458
225,Sex,18946
226,Sex,9333
227,Sex,6119
228,Sex,28489
229,Sex,8209
230,Sex,9533
231,Sex,10825
232,Sex,6681
233,Sex,11180
234,Sex,10474
235,Sex,9588
236,Sex,6204
237,Sex,5505
238,Sex,7848
239,Sex,10876
240,Sex,6892
241,Sex,10457
242,Sex,4957
243,Sex,6865
244,Sex,11786
245,Sex,15025
246,Sex,6389
247,Sex,11505
248,Sex,8383
249,Sex,3124
250,Sex,8175
251,Sex,7762
252,Sex,11487
253,Sex,7069
254,Sex,14314
255,Sex,13778
256,Sex,9365
257,Sex,10717
258,Sex,9733
259,Sex,7710
260,Sex,4870
261,Sex,6114
262,Sex,19034
263,Sex,12238
264,Sex,11324
265,Sex,20062
266,Sex,7657
267,Sex,7135
268,Sex,9667
269,Sex,20855
270,Sex,7595
271,Sex,5977
272,Sex,10318
273,Sex,21562
274,Sex,6885
275,Sex,8654
276,Sex,7304
277,Sex,9399
278,Sex,14016
279,Sex,5455
280,Sex,13396
281,Sex,8129
282,Sex,7395
283,Sex,12426
284,Sex,16871
285,Sex,8324
286,Sex,33374
287,Sex,32515
288,Sex,8039
289,Sex,16739
290,Sex,9996
291,Sex,7004
292,Sex,13829
293,Sex,7623
294,Sex,6243
295,Sex,14740
296,Sex,5263
297,Sex,9029
298,Sex,7876
299,Sex,8906
300,Sex,11589
301,Sex,14959
302,Sex,16375
303,Sex,6367
304,Sex,6672
305,Sex,3521
306,Sex,6468
307,Sex,11025
308,Sex,9945
309,Sex,6376
310,Sex,9864
311,Sex,9242
312,Sex,5986
313,Sex,3809
314,Sex,7032
315,Sex,6699
316,Sex,9192
317,Sex,16915
318,Sex,11032
319,Self,14261
320,Self,15716
321,Self,8836
322,Self,6290
323,Self,7913
324,Self,22914
325,Self,12961
326,Self,4999
327,Self,5991
328,Self,11819
329,Self,11964
330,Self,15315
331,Self,4403
332,Self,6286
333,Self,9769
334,Self,11125
335,Self,5794
336,Self,7957
337,Self,7366
338,Self,6069
339,Self,4582
340,Self,14518
341,Self,10764
342,Self,6284
343,Self,12055
344,Self,14351
345,Self,10916
346,Self,7831
347,Self,19899
348,Self,9398
349,Self,7092
350,Self,15775
351,Self,14241
352,Self,7708
353,Self,8630
354,Self,13410
355,Self,4631
356,Self,17478
357,Self,8555
358,Self,15967
359,Self,5856
360,Self,5525
361,Self,7496
362,Self,10115
363,Self,8533
364,Self,11442
365,Self,12692
366,Self,4762
367,Self,11090
368,Self,10516
369,Self,5128
370,Self,8496
371,Self,3851
372,Self,5594
373,Self,7864
374,Self,5836
375,Self,7817
376,Self,7785
377,Self,3891
378,Self,6856
379,Self,3969
380,Self,8236
381,Self,5185
382,Self,7529
383,Self,4325
384,Self,16075
385,Self,6775
386,Self,17176
387,Self,5663
388,Self,20620
389,Self,5507
390,Self,5695
391,Self,11940
392,Self,12036
393,Self,10132
394,Self,8514
395,Self,3989
396,Self,18718
397,Self,8613
398,Self,11928
399,Self,7231
400,Self,8718
401,Self,11033
402,Self,4892
403,Self,7339
404,Self,4751
405,Self,13453
406,Self,9878
