11921//
7446//
12053//
5766//
5044//
11288//
22916//
6063//
5067//
12110//
7458//
10000//
6990//
9758//
18410//
13520//
32436//
5951//
3622//
15744//
10619//
6235//
3286//
7621//
13226//
7118//
15539//
5263//
5543//
4198//
12927//
7328//
7442//
6315//
8556//
4324//
7435//
14724//
7786//
8650//
3292//
5695//
2864//
9769//
5690//
8269//
7741//
7377//
22515//
2576//
6992//
7626//
8087//
4829//
16495//
11675//
5702//
7999//
6228//
8142//
8852//
6811//
5719//
5441//
12597//
5358//
6341//
6581//
9848//
17232//
9032//
10431//
6811//
3317//
8633//
7911//
12138//
17042//
5994//
16950//
6048//
4458//
6067//
2696//
23273//
10798//
9214//
9493//
5819//
7360//
12058//
6967//
8273//
8653//
9443//
13994//
10710//
4017//
7468//
14730
